name,career,tech,language,social_impact,party,religion,sports,networking,arts,music,time_low,hands_on,outdoor,international,beginner_friendly,competitive,financial_cost,event_frequency,leadership_opportunities,group_size,description,next_event_title,next_event_date,next_event_time,next_event_location,next_event_url,next_event_is_open,event_source_type
Indian Association Dresden e. V.,0,0,both,1,1,1,1,1,1,1,0,0,0,1,1,0,0,medium,1,large,"Verein indischer Studierender und Akademiker in Dresden, der durch kulturelle Feste, Sport- und Freizeitangebote sowie Unterstützung im Alltag den interkulturellen Austausch zwischen indischer und deutscher Community fördert.",,,,,,,
Ingenieure ohne Grenzen Dresden (IOG),1,1,both,1,0,0,0,1,0,0,0,1,1,1,1,0,0,medium,1,medium,"Eine ehrenamtliche Hochschulgruppe, in der Studierende an technischen Entwicklungsprojekten und Bildungsarbeit mit sozialem und internationalem Fokus mitwirken.",Plenum/Regelmäßiges Treffen der Regionalgruppe Dresden,2026-01-22,19:00,Räumlichkeiten der Bürgerstiftung Dresden,https://www.ingenieure-ohne-grenzen.org/de/mitmachen/regionalgruppe-dresden,1,website
Islamischer Hochschulbund Dresden,1,0,both,1,0,1,0,1,0,0,0,0,0,1,1,0,0,medium,1,medium,"Eine muslimische Hochschulgruppe, die Wissen, islamische Religion, interkulturellen Dialog und internationale studentische Vernetzung fördert.",,,,,,,
JuFORUM-Lokalgruppe Dresden,1,1,German,1,0,0,0,1,0,0,0,1,0,1,1,0,0,low,1,medium,"Lokale Gruppe des bundesweiten juFORUM-Vereins an der TU Dresden, die naturwissenschaftlich interessierten jungen Menschen Exkursionen, Forschungs­einblicke und Vernetzung mit Wissenschaft und Wirtschaft bietet.",Jungforschenden-Congress 2026,2026-03-25,EMPTY,Dresden,https://www.juforum.de/veranstaltungen/jungforschenden-congress-2026-dresden,1,website
Junges Ensemble Dresden,0,0,german,0,0,0,0,0,1,1,0,0,0,1,0,1,1,medium,1,medium,"Ambitionierter studentischer Kammerchor der TU Dresden mit etwa 35 jungen Sängerinnen und Sängern, der anspruchsvolle a-cappella-Chorliteratur von Renaissance bis Moderne erarbeitet, regelmäßig probt, konzertiert und auf internationalen Konzertreisen künstlerischen Austausch pflegt.",Probe Junges Ensemble Dresden,2026-01-12,19:00,Seminargebäude ABS Raum E04 August-Bebel-Straße Dresden,https://www.studentenwerk-dresden.de/wirueberuns/newsartikel-6678.html,1,website
Juso-Hochschulgruppe (JHG) Dresden,1,0,german,1,1,0,0,1,0,0,0,1,0,1,1,0,0,medium,1,small,"Politische Hochschulgruppe und Jugendorganisation der SPD an der TU Dresden mit sozialistischem, feministischen und internationalistischem Anspruch, die sich in Arbeitsgruppen und Treffen für progressive Hochschul- und Gesellschaftspolitik engagiert.",Auswertung Gießen und Juso-Bundeskongress,2026-01-08,18:30,Die Genoss*innenschaft (Kamenzer Straße 12, 01099 Dresden),https://dresden.jusos.info,1
KRETA - Kritische Einführungstage,0,0,german,1,1,0,0,1,0,0,0,0,0,0,1,0,0,low,1,medium,"Eine offene, politisch-linke Gruppe, die mit Vorträgen, Workshops und Aktionen kritisch in gesellschaftliche Themen und Aktivismus in Dresden einführt.",,,,,,,website
Kammerchor Cantabile Dresden,0,0,german,0,0,0,0,0,1,1,0,0,0,0,1,1,0,low,1,medium,"Studentisch geprägter A-cappella-Kammerchor mit rund 30 Mitgliedern, der anspruchsvolle geistliche und weltliche Chormusik in mehreren Konzerten pro Jahr aufführt.",A cappella Konzert,2026-07-25,EMPTY,Nikolaikirche Dippoldiswalde,https://cantabile-dresden.de,1,website
Katholische Studierendengemeinde Dresden (KSG),0,0,German,1,1,1,0,1,1,1,0,0,0,1,1,0,0,high,1,medium,"Eine christliche Hochschulgemeinde an der TU Dresden für katholische und interessierte Studierende mit Gottesdiensten, Gemeindeabenden, spirituellen Angeboten und Gemeinschaft in St. Paulus und dem KSG-Haus an der Eisenstuckstraße.",Ökumenischer Jahresanfangsgottesdienst,2026-01-12,19:00,"Einsteinstraße 2, 01069 Dresden",https://www.stura.tu-dresden.de/kalender/250929_%C3%B6kumenischer_jahresanfangsgottesdienst,1,stura
Kellerklub GAG 18,0,0,german,0,1,0,0,1,1,1,0,1,0,0,1,0,1,high,1,medium,"Studentenclub im Wohnheimkeller mit alternativen Partys, dunkler Musikszene und studentisch organisiertem Kultur- und Barbetrieb.",Dark Donnerstag,2026-01-15,20:00,Kellerklub GAG 18 e.V. Dresden,https://dark-party.de/veranstaltungsort/kellerklub-gag-18-e-v-dresden/,1,website
Kino im Kasten,0,1,both,0,1,0,0,1,1,0,0,1,1,1,1,0,0,high,1,medium,"Studentisch betriebenes nichtkommerzielles Programmkino der TU Dresden mit vielfältigem Filmprogramm, Open-Air-Sommerkino und zahlreichen Mitmachmöglichkeiten in Programmgestaltung, Technik und Organisation.",She Said,2026-01-09,19:30,Kino im Kasten (TU Dresden),https://www.kino-im-kasten.de/programm.html,1,website
Kultur in der Neuen Mensa,0,0,de,0,1,0,0,1,1,1,0,1,0,0,1,0,0,medium,1,medium,"Ein studentischer Verein in Gründung, der nach der Wiedereröffnung der Neuen Mensa die Bierstube und den Campus mit Konzerten, Partys und vielfältigen Kulturveranstaltungen beleben will.",,,,,,,
"Leo Club Dresden ""August der Starke""",1,0,both,1,0,0,0,1,0,0,1,1,1,1,1,0,0,low,1,small,"Eine studentische Service-Club-Hochschulgruppe der TU Dresden, in der sich vor allem Studierende über soziale Projekte und ehrenamtliche Aktionen wie Car Wash, Elbwiesenreinigung und Unterstützung von Kinderheimen für den guten Zweck engagieren.",,,,,,,
Liberale Hochschulgruppe Dresden,1,0,german,1,1,0,0,1,0,0,0,0,0,0,1,1,0,low,1,medium,"Politische Hochschulgruppe an der TU Dresden, die für liberale und tolerante Hochschulpolitik eintritt und Studierende mit Interesse an liberalen Ideen vernetzt.",,,,,,,
MediNetz Dresden e.V.,1,0,both,1,0,0,0,1,0,0,0,1,0,1,1,0,0,low,1,medium,"Eine ehrenamtliche Menschenrechtsinitiative von Studierenden und Engagierten, die anonym und kostenlos medizinische Versorgung für Menschen ohne regulären Zugang zum Gesundheitssystem organisiert.",,,,,,,
Mit Sicherheit Verliebt,0,0,german,1,0,0,0,0,0,0,0,1,0,0,1,0,0,low,1,medium,"Eine ehrenamtliche Hochschulgruppe von Studierenden, die an Schulen in Dresden altersgerechte Sexualaufklärung und Präventionsarbeit zu Liebe, Sexualität und sexueller Gesundheit anbietet.",,,,,,,
Nachhaltigkeits-AG Bauwesen der TU Dresden e.V.,1,1,german,1,0,0,0,1,0,0,0,1,0,0,1,0,0,medium,1,medium,"Engagierte Hochschulgruppe und Verein an der TU Dresden, die sich mit nachhaltigem Bauen, Bauwende und der Verbesserung der Lehre im Bauwesen beschäftigt.",,,,,,,
Nightline Dresden e. V.,0,0,both,1,0,0,0,1,0,0,0,1,0,1,1,0,0,medium,1,medium,"Ein ehrenamtliches, anonymes Zuhörtelefon und Chatangebot von Studierenden für Studierende an der TU Dresden, das nachts bei Sorgen und Belastungen unterstützend zur Seite steht.",,,,,,,
PAUL Consultants e.V.,1,1,both,0,0,0,0,1,0,0,0,1,0,1,0,1,0,medium,1,medium,"Studentische Unternehmensberatung der TU Dresden, in der Studierende verschiedener Fachrichtungen in echten Beratungsprojekten mit Unternehmen praxisnahe Erfahrungen sammeln und ein professionelles Netzwerk aufbauen.",,,,,,,
Pakistani Student Association (PSA),0,0,english,1,1,1,0,1,0,0,0,0,0,1,1,0,0,medium,1,medium,"Interkulturelle Hochschulgruppe muslimischer Studierender mit pakistanischem Hintergrund an der TU Dresden, die religiöse Feste, kulturelle Events und Vernetzungsangebote für internationale Studierende organisiert.",,,,,,,
Progressiv am Campus,0,0,german,1,1,0,0,1,0,0,0,0,0,0,1,0,0,low,1,small,"Eine politisch-progressive Hochschulgruppe an der TU Dresden, die sich für gesellschaftliche Veränderung und ein lebendiges Campusleben engagiert.",,,,,,,
RCDS Dresden,1,0,german,1,1,1,0,1,0,0,0,0,0,0,1,1,0,low,1,medium,"Politische Hochschulgruppe an der TU Dresden mit christlich-konservativem Profil, die sich hochschulpolitisch engagiert und zugleich Raum für Austausch, Freundschaften und gemeinsame Aktivitäten bietet.",,,,,,,
Rock Your Life! Dresden e.V.,1,0,both,1,0,0,0,1,0,0,0,1,0,1,1,0,0,medium,1,medium,Studierende begleiten als ehrenamtliche Mentor*innen ein Jahr lang Jugendliche mit besonderen Herausforderungen auf ihrem Bildungs- und Berufsweg und setzen sich so für Bildungsgerechtigkeit und Chancengleichheit ein.,,,,,,,website
SMD Dresden,0,0,german,1,0,1,1,1,0,0,1,0,1,1,1,0,0,medium,1,medium,"Christliche Hochschulgruppe an der TU Dresden mit regelmäßigen Themenabenden, Gebets- und Freizeitangeboten, die Glauben, Gemeinschaft, Austausch und gelegentliche Sport- und Outdooraktivitäten verbindet.",Lobpreis-Elbe-Chillen,2026-02-15,EMPTY,EMPTY,https://hochschul-smd.org/dresden/semesterprogramm/,1,website
STAR Dresden e.V.,1,1,english,0,0,0,0,1,0,0,0,1,0,1,1,1,0,high,1,medium,"Interdisziplinäre Hochschulgruppe der TU Dresden, in der Studierende praxisnah an Raumfahrtprojekten wie Rovern, Raketen und Höhenforschungsexperimenten arbeiten und international an Wettbewerben teilnehmen.",,,,,,,
STAV e.V.,1,0,german,1,0,0,0,1,0,0,0,1,0,0,1,0,0,medium,1,medium,"Studentische Arbeitsvermittlung an der TU Dresden, die von Studierenden organisiert wird und Jobs für Kommilitoninnen und Kommilitonen vermittelt.",,,,,,,
Studentenclub Bärenzwinger e.V.,0,0,german,1,1,0,0,1,1,1,0,1,1,1,1,0,0,high,1,medium,"Traditionsreicher Studentenclub und Kulturzentrum in historischen Festungsgewölben mit Partys, Konzerten, Theater und vielfältigen Veranstaltungen für Studierende und Jugendliche in Dresden.",DREIECKS COMEDY - Die Stand Up Show,2026-01-16,20:00,Studentenclub Bärenzwinger Dresden,https://rausgegangen.de/events/dreiecks-comedy-die-stand-up-show-1/,1,website
Studentenreiter Dresden,0,0,both,0,1,0,1,1,0,0,0,1,1,1,0,1,1,medium,1,medium,"Eine sportlich orientierte Hochschulreitgruppe, in der pferdesportbegeisterte Studierende gemeinsam trainieren, an Turnieren teilnehmen und bei Stammtischen, Lehrgängen und Ausflügen Gemeinschaft pflegen.",Infoabend Studentenreiter Dresden,2026-02-02,20:00,Studentenclub Aquarium,https://www.dhsz.tu-dresden.de/angebote/aktueller_zeitraum/_Reiten.html,1,website
Studentische Wasserwacht Dresden,1,0,german,1,0,0,1,1,0,0,0,1,1,0,1,0,0,high,1,medium,"Eine studentische Ortsgruppe der DRK-Wasserwacht, die sich ehrenamtlich in Rettungsschwimmen, Wasserrettung und Ausbildung an der TU Dresden engagiert.",,,,,,,website
Studentischer Sanitätsdienst der TU Dresden,1,1,both,1,0,0,0,1,0,0,0,1,0,0,1,0,0,medium,1,medium,"Eine ehrenamtliche Hochschulgruppe, die Erste-Hilfe-Kurse anbietet und universitäre Veranstaltungen sanitätsdienstlich absichert, um Studierende und Mitarbeitende der TU Dresden für Notfälle zu qualifizieren.",,,,,,,
Studis gegen Rechts,0,0,german,1,0,0,0,1,0,0,0,1,1,0,1,0,0,medium,1,medium,"Eine antifaschistische Hochschulgruppe in Dresden, in der Studierende sich gegen Rechtsruck engagieren, Aktionen und Demos organisieren und gemeinsam für eine solidarische, vielfältige Gesellschaft eintreten.",EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,website
StudyTutors Dresden,1,0,both,1,0,0,0,1,0,0,0,1,0,1,1,0,0,low,1,small,"Ehrenamtliche Hochschulgruppe, in der Studierende finanziell benachteiligten Kindern und Jugendlichen durch kostenlose Nachhilfe und gemeinsame Freizeitaktivitäten helfen.",,,,,,,
TU Big Band e.V.,0,0,german,0,1,0,0,1,1,1,0,0,0,0,0,0,low,high,1,medium,"Studentisches Jazzorchester der TU Dresden, das mit rund 30 Mitgliedern Swing-, Jazz- und Tanzmusik probt und bei vielfältigen Auftritten in Dresden und darüber hinaus für Big-Band-Sound sorgt.",Campusfestival,2026-07-02,EMPTY,TU Dresden,https://www.tubigband.de/de/auftritte,1,website
TU Dresden Robotik AG,1,1,both,0,0,0,0,1,0,0,0,1,0,1,1,1,0,high,1,medium,"Studentische Arbeitsgruppe, in der autonome Roboter für Wettbewerbe entwickelt werden und Studierende praktische Erfahrungen in Mechanik, Elektronik und Programmierung sammeln können.",,,,,,,
Team AufeinanderAchten,1,0,both,1,0,0,0,1,0,0,0,1,0,1,1,0,0,medium,1,medium,"Hochschulgruppe der TU Dresden, die mit einem kostenlosen Erste-Hilfe-Kurs für die Seele Studierende zu seelischen Ersthelfer:innen ausbildet und für Warnzeichen psychischer Belastungen sensibilisiert.",AufeinanderAchten - der Erste-Hilfe-Kurs für die Seele,2026-01-16,13:30,Volkshochschule Dresden,Annenstraße 10, 01067 Dresden,1
The Big Band Therapy,0,0,german,0,1,0,0,1,1,1,0,1,0,0,0,0,0,medium,0,medium,"Eine studentisch geprägte Dresdner Big Band, die in klassischer Big-Band-Besetzung Jazz, Swing, Latin, Rock und Pop spielt und bei Bällen, Konzerten und Uni-Events für mitreißende Live-Musik sorgt.",Rehearsal,2026-01-15,19:00,Universitätsklinikum Dresden Gebäude 40 Dekanat,http://www.thebigbandtherapy.de,1,website
Therapie mal anders,1,0,german,1,0,0,0,1,0,0,0,0,0,0,1,0,0,low,1,small,"Eine studentische Psychologie-Hochschulgruppe an der TU Dresden, die mit kostenfreien Vorträgen und Workshops kritisch über Psychotherapie, Machtverhältnisse und Diskriminierung reflektiert und Betroffenenperspektiven stärkt.",Veranstaltungsreihe 'Therapie mal anders' – Globale Gerechtigkeit im Kontext von Dekolonialen Prozessen in (therapeutischen) Räumen,2025-03-04,17:00,Rösslstube und online via Zoom,https://kritpsydd.noblogs.org/termine/,1,website
Universitätsorchester Dresden,0,0,german,0,0,0,0,0,1,1,0,0,0,0,0,1,0,medium,1,large,"Ein sinfonisches und kammerphilharmonisches Orchester der TU Dresden mit über 100 Mitgliedern, das anspruchsvolle Konzertprogramme erarbeitet und regelmäßig öffentlich aufführt.","SINFONIEKONZERT ""NACHKLÄNGE""",2026-02-01,18:00,Kulturpalast Dresden,https://www.uniorchester-dresden.de/konzerte/2026/2/sinfoniekonzert-nachklaenge,1,website
VWI HG Dresden e.V.,1,1,both,0,1,0,0,1,0,0,0,1,0,1,1,0,0,medium,1,large,"Interdisziplinäre Hochschulgruppe von Wirtschaftsingenieurstudierenden, die durch Workshops, Exkursionen und ein starkes nationales wie europäisches Netzwerk praxisnahe Einblicke, Soft-Skill-Entwicklung und Vereinsengagement an der TU Dresden bietet.",HG Dresden: Mitgliedervollversammlung,2026-01-14,EMPTY,EMPTY,EMPTY,0,website
